"cancer","p.value","OR","overlap","geneset","p.adj"
"BLCA",1.12541840725038e-07,4.25257953145615,22,"CGC",7.87792885075267e-07
"BRCA",1.26895440066143e-23,13.6405627518063,34,"CGC",8.88268080463003e-23
"COAD",2.43962210821011e-17,6.41436825374592,39,"CGC",1.70773547574707e-16
"GBM",4.29060916020576e-13,8.04514106687586,24,"CGC",3.00342641214403e-12
"HNSC",4.85166688067484e-15,6.72494730187933,32,"CGC",3.39616681647239e-14
"LUAD",0.00106403663715091,4.32355808704451,8,"CGC",0.00744825646005634
"STAD",1.41149877303378e-15,7.393511953881,31,"CGC",9.88049141123643e-15
"BLCA",2.06124742039364e-06,3.24798128921407,25,"OncoKB",1.44287319427555e-05
"BRCA",2.90506173683916e-21,10.2225792753093,37,"OncoKB",2.03354321578741e-20
"COAD",6.82085599228288e-14,4.62754998759977,42,"OncoKB",4.77459919459801e-13
"GBM",7.24565449959113e-12,6.18426554031208,27,"OncoKB",5.07195814971379e-11
"HNSC",5.57382245460061e-14,5.32243933711208,37,"OncoKB",3.90167571822042e-13
"LUAD",0.00352880914263185,3.26421263756009,9,"OncoKB",0.0247016639984229
"STAD",1.80074198499032e-10,4.66295192396694,30,"OncoKB",1.26051938949322e-09
"BLCA",0.000555790778587507,8.12385339965293,5,"IntOGen",0.00389053545011255
"BRCA",6.81787123824255e-32,61.9193545645082,24,"IntOGen",4.77250986676979e-31
"COAD",1.59653563453295e-25,34.7524859671444,23,"IntOGen",1.11757494417307e-24
"GBM",1.39197736344899e-12,52.7208932327496,9,"IntOGen",9.74384154414293e-12
"HNSC",7.43579265548496e-13,25.5324095681587,12,"IntOGen",5.20505485883947e-12
"LUAD",0.000312296129677281,25.5252832876337,3,"IntOGen",0.00218607290774097
"STAD",7.60554557349797e-10,32.9071812492617,8,"IntOGen",5.32388190144858e-09
